Timestamp(UTC UNIX),Timestamp (AEST Local), X,Y, Gaze on Left, Gaze on Middle, Gaze on Right
'1713069623714,'2024-04-14 14:40:23.714,760,333.5,0,1,0
'1713069624883,'2024-04-14 14:40:24.883,760,333.5,0,1,0
'1713069624909,'2024-04-14 14:40:24.909,760,333.5,0,1,0
'1713069624926,'2024-04-14 14:40:24.926,760,333.5,0,1,0
'1713069624944,'2024-04-14 14:40:24.944,760,333.5,0,1,0
'1713069624952,'2024-04-14 14:40:24.952,760,333.5,0,1,0
'1713069624997,'2024-04-14 14:40:24.997,760,333.5,0,1,0
'1713069625015,'2024-04-14 14:40:25.015,760,333.5,0,1,0
'1713069625032,'2024-04-14 14:40:25.032,760,333.5,0,1,0
'1713069625059,'2024-04-14 14:40:25.059,760,333.5,0,1,0
'1713069625093,'2024-04-14 14:40:25.093,760,333.5,0,1,0
'1713069625111,'2024-04-14 14:40:25.111,760,333.5,0,1,0
'1713069625146,'2024-04-14 14:40:25.146,760,333.5,0,1,0
'1713069625180,'2024-04-14 14:40:25.180,760,333.5,0,1,0
'1713069625206,'2024-04-14 14:40:25.206,760,333.5,0,1,0
'1713069625215,'2024-04-14 14:40:25.215,760,333.5,0,1,0
'1713069625233,'2024-04-14 14:40:25.233,760,333.5,0,1,0
'1713069625241,'2024-04-14 14:40:25.241,760,333.5,0,1,0
'1713069625267,'2024-04-14 14:40:25.267,760,333.5,0,1,0
'1713069625285,'2024-04-14 14:40:25.285,760,333.5,0,1,0
'1713069625302,'2024-04-14 14:40:25.302,760,333.5,0,1,0
'1713069625328,'2024-04-14 14:40:25.328,760,333.5,0,1,0
'1713069625346,'2024-04-14 14:40:25.346,760,333.5,0,1,0
'1713069625363,'2024-04-14 14:40:25.363,760,333.5,0,1,0
'1713069625380,'2024-04-14 14:40:25.380,760,333.5,0,1,0
'1713069625397,'2024-04-14 14:40:25.397,760,333.5,0,1,0
'1713069625414,'2024-04-14 14:40:25.414,760,333.5,0,1,0
'1713069625440,'2024-04-14 14:40:25.440,760,333.5,0,1,0
'1713069625457,'2024-04-14 14:40:25.457,760,333.5,0,1,0
'1713069625474,'2024-04-14 14:40:25.474,760,333.5,0,1,0
'1713069625499,'2024-04-14 14:40:25.499,760,333.5,0,1,0
'1713069625515,'2024-04-14 14:40:25.515,760,333.5,0,1,0
'1713069625533,'2024-04-14 14:40:25.533,760,333.5,0,1,0
'1713069625550,'2024-04-14 14:40:25.550,760,333.5,0,1,0
'1713069625568,'2024-04-14 14:40:25.568,760,333.5,0,1,0
'1713069625584,'2024-04-14 14:40:25.584,760,333.5,0,1,0
'1713069625618,'2024-04-14 14:40:25.618,760,333.5,0,1,0
'1713069625643,'2024-04-14 14:40:25.643,760,333.5,0,1,0
'1713069625669,'2024-04-14 14:40:25.669,760,333.5,0,1,0
'1713069625695,'2024-04-14 14:40:25.695,760,333.5,0,1,0
'1713069625712,'2024-04-14 14:40:25.712,760,333.5,0,1,0
'1713069625729,'2024-04-14 14:40:25.729,760,333.5,0,1,0
'1713069625746,'2024-04-14 14:40:25.746,760,333.5,0,1,0
'1713069625755,'2024-04-14 14:40:25.755,760,333.5,0,1,0
'1713069625781,'2024-04-14 14:40:25.781,760,333.5,0,1,0
'1713069625807,'2024-04-14 14:40:25.807,760,333.5,0,1,0
'1713069625841,'2024-04-14 14:40:25.841,760,333.5,0,1,0
'1713069625876,'2024-04-14 14:40:25.876,760,333.5,0,1,0
'1713069625901,'2024-04-14 14:40:25.901,760,333.5,0,1,0
'1713069625926,'2024-04-14 14:40:25.926,760,333.5,0,1,0
'1713069625959,'2024-04-14 14:40:25.959,760,333.5,0,1,0
'1713069625984,'2024-04-14 14:40:25.984,760,333.5,0,1,0
'1713069626002,'2024-04-14 14:40:26.002,760,333.5,0,1,0
'1713069626019,'2024-04-14 14:40:26.019,760,333.5,0,1,0
'1713069626028,'2024-04-14 14:40:26.028,760,333.5,0,1,0
'1713069626046,'2024-04-14 14:40:26.046,760,333.5,0,1,0
'1713069626063,'2024-04-14 14:40:26.063,760,333.5,0,1,0
'1713069626081,'2024-04-14 14:40:26.081,760,333.5,0,1,0
'1713069626099,'2024-04-14 14:40:26.099,760,333.5,0,1,0
'1713069626107,'2024-04-14 14:40:26.107,760,333.5,0,1,0
'1713069626125,'2024-04-14 14:40:26.125,760,333.5,0,1,0
'1713069626149,'2024-04-14 14:40:26.149,760,333.5,0,1,0
'1713069626166,'2024-04-14 14:40:26.166,760,333.5,0,1,0
'1713069626182,'2024-04-14 14:40:26.182,760,333.5,0,1,0
'1713069626201,'2024-04-14 14:40:26.201,760,333.5,0,1,0
'1713069626218,'2024-04-14 14:40:26.218,760,333.5,0,1,0
'1713069626227,'2024-04-14 14:40:26.227,760,333.5,0,1,0
'1713069626251,'2024-04-14 14:40:26.251,760,333.5,0,1,0
'1713069626268,'2024-04-14 14:40:26.268,760,333.5,0,1,0
'1713069626286,'2024-04-14 14:40:26.286,760,333.5,0,1,0
'1713069626304,'2024-04-14 14:40:26.304,760,333.5,0,1,0
'1713069626321,'2024-04-14 14:40:26.321,760,333.5,0,1,0
'1713069626347,'2024-04-14 14:40:26.347,760,333.5,0,1,0
'1713069626365,'2024-04-14 14:40:26.365,760,333.5,0,1,0
'1713069626383,'2024-04-14 14:40:26.383,760,333.5,0,1,0
'1713069626400,'2024-04-14 14:40:26.400,760,333.5,0,1,0
'1713069626418,'2024-04-14 14:40:26.418,760,333.5,0,1,0
'1713069626436,'2024-04-14 14:40:26.436,760,333.5,0,1,0
'1713069626463,'2024-04-14 14:40:26.463,760,333.5,0,1,0
'1713069626482,'2024-04-14 14:40:26.482,760,333.5,0,1,0
'1713069626507,'2024-04-14 14:40:26.507,760,333.5,0,1,0
'1713069626517,'2024-04-14 14:40:26.517,760,333.5,0,1,0
'1713069626544,'2024-04-14 14:40:26.544,760,333.5,0,1,0
'1713069626562,'2024-04-14 14:40:26.562,760,333.5,0,1,0
'1713069626579,'2024-04-14 14:40:26.579,760,333.5,0,1,0
'1713069626606,'2024-04-14 14:40:26.606,760,333.5,0,1,0
'1713069626622,'2024-04-14 14:40:26.622,760,333.5,0,1,0
'1713069626631,'2024-04-14 14:40:26.631,760,333.5,0,1,0
'1713069626664,'2024-04-14 14:40:26.664,760,333.5,0,1,0
'1713069626674,'2024-04-14 14:40:26.674,760,333.5,0,1,0
'1713069626742,'2024-04-14 14:40:26.742,760,333.5,0,1,0
'1713069626785,'2024-04-14 14:40:26.785,760,333.5,0,1,0
'1713069626802,'2024-04-14 14:40:26.802,760,333.5,0,1,0
'1713069626819,'2024-04-14 14:40:26.819,760,333.5,0,1,0
'1713069626887,'2024-04-14 14:40:26.887,760,333.5,0,1,0
